id_user,username,mail,password_user,first_name,last_name,date_creation,update_password,c_cash
1,michael32,marilynblackburn@roy-pierce.com,+wK$tjcUr6MU,Eileen,Jones,2021-06-17 21:27:57,2025-04-30 07:43:30,9316
2,richard01,imack@gmail.com,Ce4(Cs7Fv51C,Cathy,Ryan,2020-08-01 08:25:50,2025-04-20 15:26:10,63082
3,rhondacrane,donald92@wolf.com,5f3zgn)bgw&T,Tammy,Gilbert,2020-09-05 19:46:23,2025-04-19 07:51:55,92799
4,mitchellmarc,kristenodom@gmail.com,qSX*Fzsz11eT,Heather,Andersen,2025-05-03 11:14:12,2025-05-22 17:21:30,2690
5,robertsmith,igeorge@anderson-benton.com,*r7Ca++w#ZXO,Kimberly,Garcia,2023-05-13 21:21:18,2025-03-06 13:17:13,64156
6,tgreen,mark45@gmail.com,6yX8MNSz#@^j,Sharon,Graham,2024-05-17 06:45:39,2025-08-04 03:16:00,75710
7,amy63,cweber@hall-lambert.com,ee9V8Nzr4e$#,Jennifer,Small,2023-01-21 18:24:42,2025-04-02 04:55:51,49070
8,williamsgary,guerreropaul@gmail.com,%4NCZ6oK*oO8,John,Calhoun,2020-11-21 06:10:12,2025-03-25 09:58:38,18425
9,adamsbrenda,benjamin62@lewis.com,%0E1cu)j+in8,Justin,Harvey,2022-10-29 23:44:22,2025-04-17 03:35:24,59147
10,hernandezwilliam,ellispeter@yahoo.com,$3d5b**2W9QF,Jonathan,Santana,2023-02-15 09:55:03,2025-01-28 13:59:55,88092
11,ramirezelaine,lowerycaleb@yahoo.com,&e7wxvXq&YEq,Summer,Gardner,2023-03-23 21:32:07,2025-04-22 17:42:56,3788
12,edward31,wbush@gmail.com,_4BpIbNY^JE6,Jesse,Lucas,2021-05-14 06:36:28,2025-04-04 15:42:53,72426
13,ywelch,lindsey72@camacho.com,9*2RJJmq&CaL,Samuel,Page,2021-06-05 19:43:49,2025-07-25 06:28:15,83624
